title,actual_price,approved,item_description,item_category,item_images,item_stock,price,product_weight,sale_price
Trousers Confort Jeans,34.9,yes,"If you are thinking of renewing your wardrobe, buy <b>Trousers Confort Jeans</b> and other <b> products</b>! The best quality at the best price is now within reach!<br><br><p>One of the main features of the comfort jeans is that they are comfortable and flexible so they fit your body without being too tight. They can be worn in various situations in and outside of the house. The <b>Confort Jeans</b>&nbsp;imitate traditional jeans simulating front pockets and a fake zipper, although they do have back pockets. These high-waisted trousers are manufactured with a soft, elastic fabric.</p><br><br><ul><li>Material: 95 % cotton and 5 % spandex</li><li>Gender: Unisex</li><li>Size M: 32 x 93 cm</li><li>Size L: 35 x 97 cm</li><li>Size XL: 39 x 97 cm</li><li>Adjustable: Elastic, flexible and adaptable</li><li>Easy to clean: Washing machine safe (cold water only)</li></ul>",CatID:2980,"[""https://cdnbigbuy.com/images/pajama-jeans0.jpg"", ""https://cdnbigbuy.com/images/pantalones-pijama-jeans-010.jpg"", ""https://cdnbigbuy.com/images/pantalones-pijama-jeans-020.jpg"", ""https://cdnbigbuy.com/images/pantalones-pijama-jeans-060.jpg"", ""https://cdnbigbuy.com/images/pantalones-pijama-jeans-070.jpg""]",19,10.2,0.0,4.5
Soy Luna Cap (55 cm),5.8,yes,"<p>Young Luna fans will be thrilled this summer when they see the <strong>Soy Luna cap (55cm)</strong>!</p>
<ul>
<li>Size 55 cm</li>
<li>Approx. visor dimensions: 15 x 6.5 cm</li>
<li>Composition: 65 % cotton and 35 % polyester</li>
</ul>",CatID:2607,"[""https://cdnbigbuy.com/images/V1300596_1430011.jpg"", ""https://cdnbigbuy.com/images/V1300596_1430021.jpg"", ""https://cdnbigbuy.com/images/V1300596_1430031.jpg"", ""https://cdnbigbuy.com/images/V1300596_1430041.jpg"", ""https://cdnbigbuy.com/images/V1300596_1430051.jpg""]",0,1.6,0.0,1.25
Guess Women's Thong O77E05-PZ00A-A009N,17.1,yes,"<p>If you like comfortable, quality underwear, get the <strong>Guess women's thong</strong> <strong>O77E05-PZ00A-A009N</strong> at the best price! </p>
<ul>
<li>Made of cotton </li>
<li>Sizes available: L, M, S, XL</li>
<li>Machine washable (max. 30 ºC)</li>
</ul>",CatID:2575,"[""https://cdnbigbuy.com/images/V2600689_196025.jpg"", ""https://cdnbigbuy.com/images/V2600689_196026.jpg"", ""https://cdnbigbuy.com/images/V2600689_196027.jpg""]",0,10.52,0.038,7.89
Tourmaline Slimming Girdle ActiveSlim InnovaGoods,29.99,yes,"<b>InnovaGoods</b> makes it easy to prioritise your personal care without any excuses, as it offers the best and latest beauty, relaxation and wellbeing items! The <b>Tourmaline Slimming Girdle ActiveSlim InnovaGoods </b> is a good example of these! Discover a wide range of high-quality products which stand out for their functionality, efficiency and innovative design.<br><br><p>

This integral <b>reducing girdle</b>&nbsp;is ideal for shaping and styling the figure and promoting the elimination of toxins. The effect of its tourmaline particles improves circulation and helps to progressively reduce cellulite. There are many known benefits of tourmaline, as it transforms the energy releasing tension and purifies and balances all the chakras, which provides a pleasant feeling of well-being.

<br></p><br><br><ul><li>Material: <ul><li>Polyamide</li><li>Polyester</li><li>Elastane</li><li>Tourmaline</li></ul></li><li>Colour: Grey</li><li>Modern design: Ergonomic</li><li>Type: Reducing girdle</li><li>Adjustable: Firm hold</li><li>Elastic, flexible and adaptable: Wide coverage</li><li>Soft and pleasant to the touch: Does not rub or harm the skin</li><li>Easy to clean: Wash by hand</li><li>Characteristics: Benefits the circulatory system and helps to eliminate fat</li><li>Properties: Absorbs body heat and accelerates metabolism</li><li>Slimming effect: Shapes and slims thighs, hips, waist and abdomen</li><li>Waist: <ul><li>60-75 cm (M)</li><li>65-85 cm (L)</li><li>85-95 cm (XL)</li></ul></li><li>Hip: <ul><li>90-100 cm (M)</li><li>95-105 cm (L)</li><li>100-120 cm (XL)</li></ul></li></ul><br><br>Packaging in 24 languages: English, French, Spanish, German, Italian, Portuguese, Dutch, Polish, Hungarian, Romanian, Danish, Swedish, Finnish, Lithuanian, Norwegian, Slovenian, Greek, Czech, Bulgarian, Croatian, Slovakian, Estonian, Russian and Latvian.",CatID:2575,"[""https://cdnbigbuy.com/images/V0100961_000_MKT_V0100970_V0100971_V01009723.jpg"", ""https://cdnbigbuy.com/images/V0100961_010_MKT_V0100970_V0100971_V01009723.jpg"", ""https://cdnbigbuy.com/images/V0100961_020_MKT_V0100970_V0100971_V01009723.jpg"", ""https://cdnbigbuy.com/images/V0100961_030_MKT_V0100970_V0100971_V01009723.jpg"", ""https://cdnbigbuy.com/images/V0100961_040_WBG_V0100970_V0100971_V01009723.jpg"", ""https://cdnbigbuy.com/images/V0100961_050_PACK_V0100970_V0100971_V01009723.jpg""]",0,9.83,0.0,4.97
Summer Pyjama Mickey Mouse 73457 Navy Blue,15.95,yes,"<ul><li>Material: <ul><li>Cotton</li><li>100% cotton</li></ul></li><li>Colour: <ul><li>Navy Blue</li><li>Blue</li><li>Red</li></ul></li></ul><br>Children deserve the best, that's why we present to you <b>Summer Pyjama Mickey Mouse 73457 Navy Blue</b>, ideal for those who seek quality products for their little ones! Get <b>Mickey Mouse</b> and other brands and licences at the best prices!",CatID:2902,"[""https://cdnbigbuy.com/images/8427934259885_0_P22.jpg"", ""https://cdnbigbuy.com/images/8427934259885_1_P42.jpg"", ""https://cdnbigbuy.com/images/8427934259885_2_P02.jpg"", ""https://cdnbigbuy.com/images/8427934259885_3_P32.jpg"", ""https://cdnbigbuy.com/images/8427934259885_4_P12.jpg"", ""https://cdnbigbuy.com/images/8444_medidas-ropa-licencias2.jpg""]",8,8.81,0.0,7.05
Short Sleeve T-Shirt Premium Batman 73763,8.95,yes,"If you are thinking of renewing your wardrobe, buy <b>Short Sleeve T-Shirt Premium Batman 73763</b> and other <b>Batman products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Material: 90 % cotton and 10 % polyester</li><li>Colour: Grey</li></ul>",CatID:2964,"[""https://cdnbigbuy.com/images/8427934266739_0_P11.jpg"", ""https://cdnbigbuy.com/images/8427934266739_00_A001.jpg"", ""https://cdnbigbuy.com/images/9383_Mandatory_Hombre_S071.jpg""]",0,5.6,0.0,4.2
Single Sleeved Blanket with Central Pocket Faboulazy InnovaGoods,29.99,yes,"<b>InnovaGoods</b> makes it easy to prioritise your personal care without any excuses, as it offers the best and latest beauty, relaxation and wellbeing items! The <b>Single Sleeved Blanket with Central Pocket Faboulazy InnovaGoods </b> is a good example of these! Discover a wide range of high-quality products which stand out for their functionality, efficiency and innovative design.<br><br><ul><li>Material: Polyester</li><li>Colour: <ul><li>Blue</li><li>Beige</li></ul></li><li>Type: Blanket with Sleeves</li><li>Original design: Modern design</li><li>Gender: Unisex</li><li>Size: One size</li><li>Characteristics: Soft and pleasant to the touch</li><li>Wide central pocket wide: 20 x 25 cm</li><li>Convenient and comfortable: Rest and relaxation</li><li>Protection during the winter: A comfortable and warm single sleeved blanket with an updated design ideal for staying warm and cosy at home during those cold winters</li><li>Approx. dimensions: 130 x 170 cm</li><li>Packaging in 24 languages: English, French, Spanish, German, Italian, Portuguese, Dutch, Polish, Hungarian, Romanian, Danish, Swedish, Finnish, Lithuanian, Norwegian, Slovenian, Greek, Czech, Bulgarian, Croatian, Slovakian, Estonian, Russian and Latvian</li></ul>",CatID:2577,"[""https://cdnbigbuy.com/images/V0101230_000_MKT_V0101232-v_14.jpg"", ""https://cdnbigbuy.com/images/V0101230_010_MKT-v_14.jpg"", ""https://cdnbigbuy.com/images/V0101230_020_MKT_V0101231-v_14.jpg"", ""https://cdnbigbuy.com/images/V0101230_030_MKT_V0101232-v_14.jpg"", ""https://cdnbigbuy.com/images/V0101230_040_MKT_V0101231-v_14.jpg"", ""https://cdnbigbuy.com/images/V0101230_050_WBG-v_14.jpg"", ""https://cdnbigbuy.com/images/V0101230_060_WBG_V0101232-v_14.jpg"", ""https://cdnbigbuy.com/images/V0101230_070_WBG_V0101231-v_14.jpg"", ""https://cdnbigbuy.com/images/V0101230_080_PACK-v_14.jpg""]",468,13.97,0.0,8.39
Double Sleeved Blanket with Central Pocket Doublanket InnovaGoods,39.99,yes,"<b>InnovaGoods</b> makes it easy to prioritise your personal care without any excuses, as it offers the best and latest beauty, relaxation and wellbeing items! The <b>Double Sleeved Blanket with Central Pocket Doublanket InnovaGoods </b> is a good example of these! Discover a wide range of high-quality products which stand out for their functionality, efficiency and innovative design.<br><br><ul><li>Material: Polyester</li><li>Colour: <ul><li>Blue</li><li>Beige</li></ul></li><li>Type: Blanket with Sleeves</li><li>Original design: Modern design</li><li>Gender: Unisex</li><li>Size: One size</li><li>Characteristics: Soft and pleasant to the touch</li><li>Wide central pocket wide: 20 x 25 cm</li><li>Convenient and comfortable: Rest and relaxation</li><li>Recommended use: Ideal for couples</li><li>Protection during the winter: A cosy and warm double sleeved blanked with an updated design ideal for staying comfortable and warm together at home during those cold winters</li><li>Approx. dimensions: 160 x 180 cm</li><li>Packaging in 24 languages: English, French, Spanish, German, Italian, Portuguese, Dutch, Polish, Hungarian, Romanian, Danish, Swedish, Finnish, Lithuanian, Norwegian, Slovenian, Greek, Czech, Bulgarian, Croatian, Slovakian, Estonian, Russian and Latvian</li></ul>",CatID:2577,"[""https://cdnbigbuy.com/images/V0101233_000_MKT_V0101234-v_13.jpg"", ""https://cdnbigbuy.com/images/V0101233_010_MKT_V0101235-v_13.jpg"", ""https://cdnbigbuy.com/images/V0101233_020_MKT_V0101234-v_13.jpg"", ""https://cdnbigbuy.com/images/V0101233_030_MKT_V0101235-v_13.jpg"", ""https://cdnbigbuy.com/images/V0101233_040_MKT_V0101235-v_13.jpg"", ""https://cdnbigbuy.com/images/V0101233_050_MKT_V0101234-v_13.jpg"", ""https://cdnbigbuy.com/images/V0101233_060_WBG-v_13.jpg"", ""https://cdnbigbuy.com/images/V0101233_070_WBG_V0101235-v_13.jpg"", ""https://cdnbigbuy.com/images/V0101233_080_WBG_V0101234-v_13.jpg"", ""https://cdnbigbuy.com/images/V0101233_090_PACK-v_13.jpg""]",0,18.93,0.0,11.28
Ankle Sports Socks Puma FOOTIE (3 Pairs) Grey,15.0,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Ankle Sports Socks Puma FOOTIE (3 Pairs) Grey</b> at the best price and enjoy a healthy life!<br><br><ul><li>Gender: <ul><li>Unisex</li><li>Men</li><li>Adults unisex</li></ul></li><li>Material: <ul><li>70 % cotton</li><li>25 % Polyamide</li><li>2 % Elastane</li></ul></li><li>Includes: 3 pairs</li><li>Type: Socks</li><li>Colour: Grey</li><li>Characteristics: Machine washable</li></ul>,CatID:3293,"[""https://cdnbigbuy.com/images/5693_tallas-calcetines3.jpg"", ""https://cdnbigbuy.com/images/8718824364681_0_P03.jpg""]",0,10.5,0.0,8.4
Sports Socks Puma SHORT CREW (3 Pairs) Grey,12.37,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Sports Socks Puma SHORT CREW (3 Pairs) Grey</b> at the best price and enjoy a healthy life!<br><br><ul><li>Gender: <ul><li>Unisex</li><li>Men</li><li>Adults unisex</li></ul></li><li>Material: <ul><li>74 % cotton</li><li>20 % Polyester</li><li>4 % Polyamide</li><li>2 % Elastane</li></ul></li><li>Includes: 3 pairs</li><li>Type: Socks</li><li>Colour: Grey</li><li>Characteristics: Machine washable</li></ul>,CatID:3293,"[""https://cdnbigbuy.com/images/5696_tallas-calcetines3.jpg"", ""https://cdnbigbuy.com/images/8713537871181_0_P03.jpg""]",2,8.66,0.0,6.93
